species,subgenus,section,series,group,subgroup,complex,species_ncbi
Anopheles_aconitus,Cellia,,Myzomyia,Minimus,,,Anopheles aconitus
Anopheles_albimanus,Nyssorhynchus,Albimanus,Albimanus,,,,Anopheles albimanus
Anopheles_annularis,Cellia,,Neocellia,Annularis,,Annularis,Anopheles annularis
Anopheles_aquasalis,Nyssorhynchus,Albimanus,Oswaldoi,Oswaldoi,Oswaldoi,,Anopheles aquasalis
Anopheles_arabiensis,Cellia,,Pyretophorus,,,Gambiae,Anopheles arabiensis
Anopheles_atroparvus,Anopheles,Angusticorn,Anopheles,Maculipennis,,Maculipennis,Anopheles atroparvus
Anopheles_balabacensis,Cellia,,Neomyzomyia,Leucosphyrus,Leucosphyrus,Leucosphyrus,Anopheles balabacensis
Anopheles_barbirostris,Anopheles,Laticorn,Myzorhynchus,Barbirostris,Barbirostris,,Anopheles barbirostris
Anopheles_bellator,Kerteszia,,,,,,Anopheles bellator
Anopheles_brohieri,Cellia,,Myzomyia,Marshallii,,,Anopheles hancocki
Anopheles_brunnipes,Cellia,,,,,,Anopheles brunnipes
Anopheles_carnevalei,Cellia,,Neomyzomyia,Ardensis,,Nili,Anopheles carnevalei
Anopheles_christyi,Cellia,,Pyretophorus,,,,Anopheles christyi
Anopheles_coluzzii,Cellia,,Pyretophorus,,,Gambiae,Anopheles coluzzii
Anopheles_coustani,Anopheles,Laticorn,Myzorhynchus,Coustani,,,Anopheles coustani
Anopheles_cracens,Cellia,,Neomyzomyia,Leucosphyrus,Leucosphyrus,,Anopheles cracens
Anopheles_cruzii,Kerteszia,,,,,,Anopheles cruzii
Anopheles_culicifacies,Cellia,,Myzomyia,,,Culicifacies,Anopheles culicifacies
Anopheles_darlingi,Nyssorhynchus,Argyritarsis,Argyritarsis,Darlingi,,,Anopheles darlingi
Anopheles_demeilloni,Cellia,,Myzomyia,,,,Anopheles demeilloni
Anopheles_dirus_A,Cellia,,Neomyzomyia,Leucosphyrus,Leucosphyrus,Dirus,Anopheles dirus
Anopheles_dureni,Cellia,,Neomyzomyia,Ardensis,,,Anopheles vinckei
Anopheles_epiroticus,Cellia,,Pyretophorus,,,Sundaicus,Anopheles epiroticus
Anopheles_farauti,Cellia,,Neomyzomyia,,,Punctulatus,Anopheles farauti
Anopheles_funestus,Cellia,,Myzomyia,Funestus,Funestus,,Anopheles funestus
Anopheles_gabonensis,Cellia,,Myzomyia,,,,Anopheles gabonensis
Anopheles_gambiae,Cellia,,Pyretophorus,,,Gambiae,Anopheles gambiae
Anopheles_hancocki,Cellia,,Myzomyia,Marshallii,,,Anopheles hancocki
Anopheles_hyrcanus,Anopheles,Laticorn,Myzorhynchus,Hyrcanus,,,Anopheles hyrcanus
Anopheles_implexus,Anopheles,Laticorn,Christya,,,,Anopheles implexus
Anopheles_jamesii,Cellia,,Neocellia,,,,Anopheles jamesii
Anopheles_jebudensis,Cellia,,Neomyzomyia,,,,Anopheles jebudensis
Anopheles_koliensis,Cellia,,Neomyzomyia,,,Punctulatus,Anopheles koliensis
Anopheles_maculatus_A,Cellia,,Neocellia,Maculatus,,,Anopheles maculatus
Anopheles_maculatus_B,Cellia,,Neocellia,Maculatus,,,Anopheles maculatus
Anopheles_maculipalpis,Cellia,,Neocellia,,,,Anopheles maculipalpis
Anopheles_marshallii,Cellia,,Myzomyia,Marshallii,,,Anopheles marshallii
Anopheles_melas,Cellia,,Pyretophorus,,,Gambiae,Anopheles melas
Anopheles_merus,Cellia,,Pyretophorus,,,Gambiae,Anopheles merus
Anopheles_minimus_A,Cellia,,Myzomyia,Minimus,,Minimus,Anopheles minimus A
Anopheles_moucheti,Cellia,,Myzomyia,,,,Anopheles moucheti
Anopheles_nili,Cellia,,Neomyzomyia,Ardensis,,Nili,Anopheles nili
Anopheles_nili_ss,Cellia,,Neomyzomyia,Ardensis,,Nili,Anopheles nili
Anopheles_oryzalimnetes,Nyssorhynchus,Argyritarsis,Albitarsis,Albitarsis,,,Anopheles oryzalimnetes
Anopheles_paludis,Anopheles,Laticorn,Myzorhynchus,Coustani,,,Anopheles paludis
Anopheles_punctulatus,Cellia,,Neomyzomyia,,,Punctulatus,Anopheles punctulatus
Anopheles_quadriannulatus,Cellia,,Pyretophorus,,,Gambiae,Anopheles quadriannulatus
Anopheles_rampae,Cellia,,Neocellia,Maculatus,,,Anopheles rampae
Anopheles_rhodesiensis,Cellia,,Neomyzomyia,,,,Anopheles rhodesiensis
Anopheles_sinensis,Anopheles,Laticorn,Myzorhynchus,Hyrcanus,,,Anopheles sinensis
Anopheles_stephensi,Cellia,,Neocellia,,,,Anopheles stephensi
Anopheles_sundaicus,Cellia,,Pyretophorus,,,Sundaicus,Anopheles sundaicus
Anopheles_tenebrosus,Anopheles,Laticorn,Myzorhynchus,Coustani,,,Anopheles tenebrosus
Anopheles_tessellatus,Cellia,,Neomyzomyia,,,,Anopheles tessellatus
Anopheles_theileri,Cellia,,Myzomyia,,,,Anopheles theileri
Anopheles_vagus,Cellia,,Pyretophorus,,,,Anopheles vagus
Anopheles_vinckei,Cellia,,Neomyzomyia,Ardensis,,,Anopheles vinckei
Anopheles_ziemanni,Anopheles,Laticorn,Myzorhynchus,Coustani,,,Anopheles ziemanni
